object_id,ra,dec,tileid,spe_context_error_flag,spe_context_warning_flag,spe_error_flag,spe_warning_flag,spe_grism,spe_npix,spe_z,spe_z_err,spe_z_rel,spe_cont_snr,spe_subclass,best_line_snr
2719280879677234141,271.92808790349534,67.72341416246633,102160061,0,32768,0,2,RGS,53,0.9592276215553284,0.002094547264277935,0.08478175848722458,14.946150779724121,BX_Scd,4.092916965484619
2719281142673687546,271.92811429332477,67.36875462873061,102160061,0,32768,0,2,RGS,401,3.4881937503814697,0.0014973108191043139,0.9788419604301453,37.186336517333984,BX_Scd,3.6386923789978027
2719284506676074820,271.92845063890536,67.60748206070939,102160061,0,32768,0,2,RGS,388,1.0563864707946777,0.0012109988601878285,0.9824616312980652,63.879947662353516,Lya_abs_SB3,6.394118785858154
2719286518677272256,271.92865187375276,67.72722564693522,102160061,0,32768,0,2,RGS,47,1.7805544137954712,0.0006618376937694848,0.18083156645298004,19.29712677001953,BX_SB3,0.0
2719286549676822924,271.92865498582165,67.6822924109875,102160061,0,32768,0,2,RGS,295,2.001614570617676,0.00040194077882915735,0.9974242448806763,136.89535522460938,BX_SB3,14.740951538085938
2719289260673560836,271.92892607067125,67.35608368171329,102160061,0,32768,0,2,RGS,310,0.9116186499595642,0.00022692352649755776,0.9864602088928223,23.088930130004883,BX_Scd,14.791096687316895
2719290387673165833,271.9290387123874,67.31658331536211,102160061,0,32768,0,2,RGS,238,1.2792588472366333,0.0003911467210855335,0.16294755041599274,106.50813293457031,Lya_abs_SB3,0.0
2719291330676751463,271.9291330305476,67.67514637373358,102160061,0,32768,0,2,RGS,310,4.570307731628418,0.0026169992052018642,0.9832319021224976,242.9337615966797,BX_SB3,0.0
2719292348676900297,271.92923486085226,67.69002979705152,102160061,0,32768,0,2,RGS,385,0.5649444460868835,0.000588621071074158,0.1791730672121048,45.521419525146484,Lya_em_SB3,4.4389543533325195
2719294234676705445,271.92942340878443,67.6705445623451,102160061,0,32768,0,2,RGS,467,1.4676105976104736,0.0009710693848319352,0.6423817873001099,73.22528839111328,Lya_em_SB3,1.8103034496307373
2719295719674690371,271.929571905922,67.4690371833789,102160061,0,32768,0,2,RGS,380,3.4595611095428467,0.0008484740392304957,0.9240862131118774,11.383502960205078,Sbc,10.211236953735352
2719297205674412725,271.92972057993626,67.44127254664072,102160061,0,32768,0,2,RGS,459,0.481048583984375,0.0001865616359282285,0.60823655128479,287.98370361328125,Lya_em_SB3,7.351832866668701
2719298271677121902,271.92982718897747,67.71219027738371,102160061,0,32768,0,2,RGS,138,2.3782246112823486,0.00010569829464657232,0.9976487755775452,429.16064453125,BX_Scd,302.0576171875
2719298732674603537,271.9298732347472,67.46035373489036,102160061,0,32768,0,2,RGS,459,2.5052096843719482,0.0010566121200099587,0.5771991014480591,112.17218780517578,SB2,2.4448952674865723
